Java程序员,珠海科亚信息技术有限公司,4.5-6千/月,08-02,外资（非欧美）,50-150人,计算机软件,,珠海|2年经验|本科|招20人,【,珠海市唐家湾镇哈工大路1号-1-C203,"CoreSolutionsisaprivatelyheldinformationtechnologyandservicesfirmspecializinginglobalsourcingsolutions.CoreSolutionsistheonlysolutionproviderthathelpsbothbuyersandsellersstreamlinebusinessprocessesacrosstheend-to-endsourcinglifecycle-fromproductdevelopmenttocosting,fromQAtoQC,fromordertopayment.CoreSolutionsoffersapowerfulsetofelectronicandweb-basesolutionsthatdramaticallyimproveProductLifecycleManagement(PLM),GlobalSourcingManagement,GlobalVendorAutomationandSupplyChainCollaboration.Leadingretailers,wholesalers,brandmanufacturersandthousandsofvendorsaroundtheworlduseCoreSolutions'softwareandservicestocoordinateactivities,synchronizedata,increasevisibilityandeliminatemanualprocesses.CoreSolutionsisbasedinHongKongwithofficesinUSandChina.CoreSolutions'CBXsuiteisthemostpowerfulsetofglobalsourcingsoftwareandservicestohelpretailers,wholesalersandbrandedmanufacturersstreamlineProductDevelopment,Sourcing,OrderManagement,ProductionManagement,QualityManagement,LogisticsandFinance.CoreSolutions建立于1995年，在IT咨询顾问和企业软件开发一直保持着领先的地位。现在，以香港为中心，本公司在美国，上海，珠海等地方建立起了分公司。我们的团队，专注于企业软件的开发（我们的旗舰产品iDEX/CBX－企业信息交换平台）并且为各领域的领头企业提供专业的解决方案，如SCM，ERP，BusinessIntelligence等。我们的客户包括渣打银行，汇丰银行，欧尚,家乐福,CloesGroup,SwireBeverages，SanMiguel，CrownWorldwide，LimitedBrands，等其他著名企业。于2003年在中国珠海投资成立了珠海科亚信息技术有限公司，注册资金为350万港币，座落于珠海的高新区--珠海新经济资源开发港。现在，我们珠海的技术团队具有一些非常有挑战性的工作机会给愿意接受挑战的计算机专业人才。我们非常欢迎聪明，有强烈的求知欲，高忠诚度，和不成功决不罢休的态度的计算机专业人才来应聘。应聘者的资料会被严格的保密。公司网站:http://www.coresolutions.com[公司的优势及提供的福利]：1.外企灵活、开放的管理模式，民主、人性化的制度及乐于分享技术的企业文化；2.良好的培训及发展空间，让每位员工能发挥所长；3.每天八小时，五天工作制；4.至少一年一次的提薪机会；5.从入职当月起办理社保（养老、医疗、失业、工伤、生育）；6.工作满一周年，享有带薪假期10天；7.其他节假日按国家规定执行；8.可接收人事档案(公司代缴档案费)；公司有党支部可接收党员关系；9.符合条件者可申请入公司集体户口；10.如有需要可申请安排员工宿舍；"
程序员,常州贵泽电子科技有限公司,0.8-1万/月,08-02,民营公司,少于50人,通信/电信/网络设备,,常州-钟楼区|无需经验|招2人,急需程序员2名,常州市钟楼区科技服务大楼,公司从事通信通讯技术，计算机应用技术，计算机机软件技术等开发与应用服务
PHP程序员,广州讯达网络技术有限公司,4-7千/月,08-02,民营公司,少于50人,广告,专业培训 绩效奖金 员工旅游 弹性工作 团队聚餐,广州-天河区|1年经验|大专|招若干人,"岗位职责：1负责微信小程序的开发和维护工作，熟悉微信平台接口及微信小程序功能研发；2.负责公司项目系统研发和维护；3.负责代码的开发与维护,会基础的APP应用开发；任职要求：1.大专以上学历,一年以上工作经验；2.熟悉微信小程序的开发流程，并有相关开发经验优先考虑；3.掌握THINKPHP、PHPCMS、ThinkPHP、ECshop、smarty框架编程，具有需求分析经验；福利待遇：1.富有竞争力的薪酬水平和其他福利津贴；2.完善的培养体系和晋升机制；3.丰富的下午茶，员工聚会，聚餐4.员工旅游；",广州市天河区东圃镇旭景西街东灏大厦425室,"广州讯达网络技术有限公司注册资金50万,是广州一家专业的技术开发广告公司。公司主要服务于中小企业,提供网站策划，广告投放,网站设计制作建设,网络推广营销于一体的专业服务。公司以“专注网站,用心服务”为核心价值,希望通过我们的专业水平和不懈努力,重塑中小企业网络形象,为企业产品推广,文化建设传播提供服务指导。"
(急聘) 程序员实习生,深圳诚宝科技,4-7.5千/月,08-02,民营公司,50-150人,计算机软件,五险一金 餐补补贴 住房补贴 专业培训 绩效奖金 年底双薪 弹性工作 员工旅游 定期体检 下午茶,深圳-南山区|无需经验|大专|招若干人,,深圳市南山区新中区科苑大道8号-金融科技大厦,成都三三诚宝科技有限公司是一家融策划、设计、制作、技术开发于一体的专业建站公司。业务范围涉及：网站建设、网页设计制作、程序开发、域名注册、网站推广维护、广告设计、flash网站制作等。公司秉承“效率优先，品质保证，用心服务”的核心价值观。以帮助企业能够更好的使用互联网这一高效的推广工具，进一步提高企业的知名度和竞争力。”三三不尽，六六无穷“三三诚宝科技期待与您合作共赢！www.33chengbao.com
SAS/R程序员,诺思格（北京）医药科技股份有限公司,6-8千/月,08-02,民营公司,,制药/生物工程,,北京|在校生/应届生|本科|招5人,SAS/R程序员岗位职责：1.主要负责临床试验中统计分析结果的SAS/R编程和验证；2.根据CFDA相关要求和CDISC标准，负责准备临床试验上报的原始数据集和分析数据集；3.对临床试验方案、病例报告表、数据管理报告等临床试验相关文件进行审核。4.协助制定和升级统计编程工作的SOP任职要求：1.生物统计学、卫生统计学等相关专业本科以上学历，有SAS编程经验者优先；2.熟练使用SAS/R等统计软件；3.熟悉CDISC等临床试验数据相关标准者优先；4.英语四级以上；,5.有较强的学习能力，踏实敬业，创新进取，有强烈的事业进取心及责任感。,诺思格（北京）医药科技股份有限公司是国内专业领先，规模较大的临床研究合同组织（CRO）之一，总部设在北京，办事处设在上海、长沙、广州、武汉、成都、西安、哈尔滨、南京、沈阳、天津、长春、杭州、合肥等省会城市；在国内覆盖60余个城市，在亚洲覆盖6个国家与地区，已与200余家机构，450余家医院及600多个科室合作，目前已为260多位国内外客户提供国际标准的临床研究外包服务。业务涵盖新药评估与咨询、注册事务、临床试验实施、数据管理和统计分析、医学事务及培训等全方位服务。
java开发工程师程序员可实习,湖北华奥星空体育产业联盟发展有限公司,4.5-8千/月,08-02,民营公司,150-500人,计算机软件,五险一金 员工旅游 绩效奖金 年终奖金 弹性工作 定期体检 通讯补贴 补充医疗保险,武汉-洪山区|招5人,岗位职责:1、在项目经理的带领下完成日常的工作，会基本的电脑操作，有较强的学习能力；2、了解java编程基础，具有良好的逻辑思维能力、表达能力和团队合作能力；3、能快速融入团队，积极主动提升自己。任职要求：1、大专以上学历，应往届计算机专业毕业生，热爱软件开发行业；2、计算机(网络)、软件工程、电子技术、自动化、电子商务、应用数学等相关专业；3、有计算机语言基础优先，如：JAVA、C语言、C++、C#、Net、Android等；4、有钻研精神和学习能力，团队合作能力；5、具有良好的自主学习能力，能够通过学习解决技术问题；福利待遇：试用期1-3个月，转正后享有平均月薪不低于3000元/月收入工作时间：行政班外加双休，法定节假日按国家制定执行入职后：公司组织完善培训计划，新人员有优秀员工带领，并且公司提供全方位的办公环境和设施设备，能力居上者有广阔的晋升位置。,珞喻路,湖北华奥星空体育产业联盟发展有限公司是一家专注于金融和电信行业软硬件研发的科技公司，为中高端客户提供软硬件技术生产服务。我们拥有优秀的软件产品设计和开发团队，专注于研发具有自主核心技术和知识产权的企业级应用软件。同时，我们也为中小型客户提供网络工程设计、施工、维护及技术咨询服务，公司拥有优秀的技术团队，公司的Java、Android、.net等核心技术人员具有10年以上的相关行业的软件开发和设计经验。公司现已与方正集团、IBM、微软、联想、华硕、戴尔、阿里集团等国际知名品牌有业务合作关系，与武汉光谷软件园常年技术项目合作！公司尊崇“踏实、拼搏、责任”的企业精神，并以诚信、共赢、开创经营理念，创造良好的企业环境，以全新的管理模式，完善的技术，周到的服务，卓越的品质为生存根本，我们始终坚持用户至上用心服务于客户，坚持用自己的服务去打动客户。
程序员,青岛澳尼特自动化系统有限公司,4.5-6千/月,08-02,民营公司,少于50人,仪器仪表/工业自动化,,青岛-市南区|无需经验|本科|招2人,,东海西路35号,成立于2001年，是一家专业化自动化测试与控制的新技术企业，有一定的市场竞争力。最求质量***，用户***的原则，不断创新。有一个团结的硬软件专业人员和工人组成的团队。公司愿意为有志青年们提供一个良好的发展平台，大家共同进步和发展。。
C#高级程序员,黑龙江华云合创科技有限公司,0.5-1万/月,08-02,民营公司,50-150人,计算机软件,五险一金 交通补贴 餐饮补贴 员工旅游 节日福利 周末双休 带薪年假 定期体检,哈尔滨-南岗区|5-7年经验|大专|招若干人,1、遵循软件开发流程开展工作；,红旗大街170号,"华云合创科技有限公司创立于2013年，公司拥有一支高水平的专业队伍，核心人员全部具有十年以上IT项目经验、丰富的行业知识与强有力的技术背景。华云合创自身定位于PAAS企业，致力于建立开放、共赢的中国企业协作生态圈,以解决企业内部、企业与企业之间协作难的问题。公司深刻理解中国大型企事业单位在市场中的地位，以大型企事业单位为切入点，通过6年多的专注投入，已经研发出具有高度竞争力的“合创圈-统一协作聚合平台”私有云产品，产品理念独特，以任务追踪为视角，以消息化连接企业日常管理所需的邮件、短信、消息、文件、日程等协作工具和人、财、物等业务管理系统重点，支持PC、PAD、手机、IP电话等多种设备接入，完全满足了企业员工日常任务类和应用系统类的协作所需。"
U3D客户端程序员,福建信之游科技有限公司,0.8-1.5万/月,08-02,创业公司,50-150人,网络游戏,,福州-晋安区|1年经验|大专|招若干人,【薪资定位】8k-15k，试用期1-2个月。具体面议。【上班时间】9:00-18:00，周末双休。【岗位职责】1、与策划团队和美术团队沟通合作，分析策划需求并完成游戏功能的程序设计和实现；2、负责Unity3D游戏的核心玩法内容开发；3、负责Unity3D游戏的界面和外围系统内容开发；4、负责Unity3D游戏的性能分析、优化，周边模块和内部使用工具的开发。【任职资格】1.一年以上Unity3D引擎开发游戏客户端经验，优秀者可放宽条件，具体面议；2.良好的沟通协调能力；3.具备强烈的责任感与良好的团队协作精神；4.有完整参与项目直至上线者优先；5.有参与具备动态更新的项目经验者优先；6.有ios或Android游戏开发经验者优先；7.有接入集成广告SDK，以及商家谷歌商店和苹果商店经验优先。,东二环泰禾1期3号楼1501,"福建信之游科技有限公司是一家致力于打造以手机游戏为突破口,为发展起点,集运营、销售为一体的综合性互动娱乐企业。公司产品涵盖大型客户端游戏,网页游戏和手机游戏及其他移动互联网产品。同时,公司拥有丰富的互联网资源,与全国各大游戏运营平台建立了深度战略合作关系,为我们获取了丰富的网络资源,赢得了稳固、广阔的市场空间。我们是年轻的队伍有为青年,公司给你们提供机会,你来为公司创造价值。只要你有激情,有梦想,就是我们的创业伙伴在这里都可以获得广阔的发展空间!"
网站程序员,山东好大夫医疗器械有限公司,6-8千/月,08-02,民营公司,少于50人,医疗/护理/卫生,五险一金 交通补贴 通讯补贴,济南-槐荫区|2年经验|本科|招1人,岗位职责：1、负责网站制作、服务器维护；2、负责微信小程序开发；3、按照计划的时间和质量要求，对网站前后台功能进行修改和升级;负责网站代码的优化和维护，保证网站的运行效率。4、每天程序员根据公司网站业务需要开发，制作和程序修改要求，必须按时按质按量地完成日常公司网站业务的编程开发技术工作。5、网站开发前期必需先测试，测试成功后方可上传。如因违规操作造成的公司损失由个人全部负责。6、每三天必须对网站的重要数据(包括网站程序、网站数据库和网站运行日志等)做增量备份，并半个月对程序和数据库做完全备份。日常负责管理网站的备份数任职资格：1、本科学历、计算机相关专业优先考虑2、熟悉asp.netwebform（.aspx）页面开发3、熟悉Thinkphp编程，熟练使用开发工具；4、熟悉dedecms、HTML、mysql、服务器运维等相关技术；,段兴西路4号,本单位主营业务医疗咨询、医疗人事派遣等医疗相关业务。
NodeJs 后端程序员,深圳市前海优世科技有限公司,0.9-1.3万/月,08-02,民营公司,少于50人,网络游戏,五险一金 补充公积金 年终奖金 周末双休 员工旅游,深圳-福田区|1年经验|本科|招1人,"工作职责:1.游戏服务器功能模块开发，例如背包,公会,任务等2.运营后台开发，运营数据查询，部份日常运维工作岗位需求:1.计算机相关专业本科及以上学历2.熟练使用NodeJS进行服务端功能开发,1年以上工作经验3.熟练使用TypeScript&JavaScript4.熟悉MySQL数据库,HTTP协议,Linux服务器管理5.易于沟通,勤奋好学,有很好的执行力和抗压能力上班时间：大小周，上午9：30-12：00下午13：30-18：30福利待遇：（一）公司具有良好的晋升机制，以及广阔的晋升空间和发展平台；（二）享受带薪年假及国家法定节假日；（三）享受五险一金，以及各种节日福利；（四）优美的办公环境，快乐的工作氛围；（五）每年一到两次旅游。",天安数码城天发大厦CD座3楼D3号,"优世科技(www.u4visual.com)由资深移动互联网精英于2014年在深圳成立,2017年6月被上市公司全资收购.公司立足于精品移动网络游戏发行,凭借对移动互联网的深刻理解及深厚的行业背景，利用庞大而稳固的网络渠道、终端预装渠道、第三方应用商店、开放平台渠道及各大运营商渠道资源，提供专业的、深度的游戏发行运营业务。"
